,Date,Account Number,Balance,AccountType_actual,AccountType
94,2014-04-13,0,143988.3642872189,Limited Company,Personal
95,2014-04-15,0,-1531796.6539273977,Limited Company,Personal
96,2014-04-16,0,-204295.86366551992,Limited Company,Personal
97,2014-04-18,0,-1085305.6806717394,Limited Company,Personal
98,2014-04-19,0,-456598.3359609491,Limited Company,Personal
99,2014-04-21,0,-777524.2732762469,Limited Company,Personal
100,2014-04-22,0,-1425955.1545234206,Limited Company,Personal
101,2014-04-23,0,-600493.025368229,Limited Company,Personal
102,2014-04-24,0,531086.637922514,Limited Company,Personal
103,2014-04-26,0,-1449637.440448373,Limited Company,Personal
104,2014-04-26,0,253923.2032706989,Limited Company,Personal
105,2014-04-28,0,-204295.86366551992,Limited Company,Personal
106,2014-04-29,0,-204295.86366551992,Limited Company,Personal
107,2014-04-30,0,-1624177.8385442132,Limited Company,Personal
108,2014-05-02,0,-324579.661899401,Limited Company,Personal
109,2014-05-04,0,732497.2954971532,Limited Company,Personal
110,2014-05-05,0,-1851012.1944781262,Limited Company,Personal
111,2014-05-06,0,-2003457.5315240463,Limited Company,Personal
112,2014-05-07,0,100379.82648565737,Limited Company,Personal
113,2014-05-09,0,1394510.7321411243,Limited Company,Personal
114,2014-05-10,0,1166457.6142495973,Limited Company,Personal
115,2014-05-12,0,-1123621.8560210457,Limited Company,Personal
116,2014-05-13,0,427545.3593839886,Limited Company,Personal
117,2014-05-14,0,607141.7570441249,Limited Company,Personal
118,2014-05-16,0,-872890.8983136204,Limited Company,Personal
119,2014-05-17,0,536524.8266601628,Limited Company,Personal
120,2014-05-18,0,-204295.86366551992,Limited Company,Personal
121,2014-05-19,0,-327960.96713620843,Limited Company,Personal
122,2014-05-21,0,-4184183.2004886763,Limited Company,Personal
123,2014-05-22,0,-389614.5309235915,Limited Company,Personal
124,2014-05-23,0,2339259.046181287,Limited Company,Personal
125,2014-05-24,0,714891.2465134405,Limited Company,Personal
126,2014-05-25,0,-204295.86366551992,Limited Company,Personal
127,2014-05-26,0,-786661.951176066,Limited Company,Personal
128,2014-05-26,0,-1593897.4750099238,Limited Company,Personal
129,2014-05-27,0,385542.61131983687,Limited Company,Personal
130,2014-05-28,0,1145896.0067830246,Limited Company,Personal
131,2014-05-29,0,676963.3743924904,Limited Company,Personal
132,2014-05-29,0,-1298605.3004072586,Limited Company,Personal
133,2014-05-31,0,864090.8706516414,Limited Company,Personal
134,2014-06-01,0,-205512.57073378685,Limited Company,Personal
135,2014-06-02,0,2437527.2154672532,Limited Company,Personal
136,2014-06-03,0,-535660.902052087,Limited Company,Personal
137,2014-06-04,0,-273582.0507450564,Limited Company,Personal
138,2014-06-06,0,526111.4977478974,Limited Company,Personal
139,2014-06-07,0,-654225.1628067167,Limited Company,Personal
140,2014-06-08,0,392946.4484958357,Limited Company,Personal
141,2014-06-09,0,-889850.9224789368,Limited Company,Personal
142,2014-06-10,0,381457.65325944446,Limited Company,Personal
143,2014-06-11,0,-1708804.94376133,Limited Company,Personal
144,2014-06-13,0,-1688486.0359350878,Limited Company,Personal
145,2014-06-14,0,-108202.37466528545,Limited Company,Personal
146,2014-06-15,0,-2597111.8651687885,Limited Company,Personal
147,2014-06-15,0,-1617583.8909587858,Limited Company,Personal
148,2014-06-16,0,-2226065.8202473246,Limited Company,Personal
149,2014-06-18,0,-1308328.8343457726,Limited Company,Personal
150,2014-06-19,0,-1201799.8074321514,Limited Company,Personal
151,2014-06-21,0,-1930662.5399034072,Limited Company,Personal
152,2014-06-22,0,-204295.86366551992,Limited Company,Personal
153,2014-06-23,0,-1890114.1271214343,Limited Company,Personal
154,2014-06-24,0,-839549.4177441953,Limited Company,Personal
155,2014-06-25,0,262397.89086174825,Limited Company,Personal
156,2014-06-27,0,80633.79751513927,Limited Company,Personal
157,2014-06-28,0,-1297095.4932353145,Limited Company,Personal
158,2014-06-29,0,1024378.4752548574,Limited Company,Personal
159,2014-06-30,0,793248.3275890141,Limited Company,Personal
160,2014-07-01,0,864023.1706518696,Limited Company,Personal
161,2014-07-01,0,397220.1324527212,Limited Company,Personal
162,2014-07-02,0,333535.36622003216,Limited Company,Personal
163,2014-07-03,0,58877.013766710355,Limited Company,Personal
164,2014-07-04,0,-475530.22384569485,Limited Company,Personal
165,2014-07-05,0,-2527693.7754506418,Limited Company,Personal
166,2014-07-06,0,-983772.6060140042,Limited Company,Personal
167,2014-07-07,0,520569.49154648365,Limited Company,Personal
168,2014-07-08,0,75588.22423669318,Limited Company,Personal
169,2014-07-10,0,-442694.89390255394,Limited Company,Personal
170,2014-07-10,0,-128061.11381036378,Limited Company,Personal
171,2014-07-12,0,-1936808.9872511087,Limited Company,Personal
172,2014-07-13,0,449925.7160071097,Limited Company,Personal
173,2014-07-13,0,-2511550.078854344,Limited Company,Personal
174,2014-07-13,0,-752644.4828696852,Limited Company,Personal
175,2014-07-14,0,-389575.25520602055,Limited Company,Personal
176,2014-07-15,0,1209063.588747122,Limited Company,Personal
177,2014-07-17,0,-2948953.2989109713,Limited Company,Personal
178,2014-07-18,0,-933846.2046272808,Limited Company,Personal
179,2014-07-19,0,-351691.0216465262,Limited Company,Personal
180,2014-07-20,0,-2149300.9848601636,Limited Company,Personal
181,2014-07-21,0,1953624.2991558912,Limited Company,Personal
182,2014-07-22,0,-108799.60851494683,Limited Company,Personal
183,2014-07-23,0,-295820.614941921,Limited Company,Personal
184,2014-07-24,0,1366155.4456338384,Limited Company,Personal
185,2014-07-25,0,-483587.31338193174,Limited Company,Personal
186,2014-07-26,0,-1506317.1597549152,Limited Company,Personal
187,2014-07-28,0,-1082776.648383614,Limited Company,Personal
188,2014-07-30,0,-3644530.9539824687,Limited Company,Personal
189,2014-07-31,0,-1247370.00536466,Limited Company,Personal
190,2014-08-01,0,-149015.87829564695,Limited Company,Personal
191,2014-08-03,0,314038.3331517847,Limited Company,Personal
192,2014-08-04,0,-1045181.6885821158,Limited Company,Personal
193,2014-08-04,0,623246.3398845736,Limited Company,Personal
194,2014-08-06,0,-1307884.9782467904,Limited Company,Personal
195,2014-08-07,0,-1616055.9440739842,Limited Company,Personal
196,2014-08-07,0,2152093.650879202,Limited Company,Personal
197,2014-08-08,0,-875588.5327542876,Limited Company,Personal
198,2014-08-09,0,-952765.5202333608,Limited Company,Personal
199,2014-08-10,0,119892.3268983502,Limited Company,Personal
200,2014-08-10,0,-204295.86366551992,Limited Company,Personal
201,2014-08-12,0,-128786.84910247476,Limited Company,Personal
202,2014-08-13,0,-1621613.0127155385,Limited Company,Personal
203,2014-08-14,0,-643569.0127828298,Limited Company,Personal
204,2014-08-15,0,1202705.7813522862,Limited Company,Personal
205,2014-08-15,0,-981080.2353293004,Limited Company,Personal
206,2014-08-16,0,1377639.5034898627,Limited Company,Personal
207,2014-08-17,0,-1272874.8465466266,Limited Company,Personal
208,2014-08-18,0,1348057.5189005875,Limited Company,Personal
209,2014-08-18,0,-148727.6977792739,Limited Company,Personal
210,2014-08-19,0,-957302.0680649581,Limited Company,Personal
211,2014-08-20,0,1002213.6896836413,Limited Company,Personal
212,2014-08-21,0,-1111247.0086943398,Limited Company,Personal
213,2014-08-22,0,-447835.49822134955,Limited Company,Personal
214,2014-08-23,0,716882.7278464402,Limited Company,Personal
215,2014-08-24,0,-1451840.605751951,Limited Company,Personal
216,2014-08-25,0,-1061430.336374232,Limited Company,Personal
217,2014-08-26,0,-1081849.8224298004,Limited Company,Personal
218,2014-08-27,0,689654.2900195662,Limited Company,Personal
219,2014-08-28,0,-204295.86366551992,Limited Company,Personal
220,2014-08-28,0,-495139.92153676815,Limited Company,Personal
221,2014-08-29,0,-132798.2866637131,Limited Company,Personal
222,2014-08-31,0,-2033829.403431233,Limited Company,Personal
223,2014-09-01,0,388173.1531171895,Limited Company,Personal
224,2014-09-02,0,-1073388.618152103,Limited Company,Personal
225,2014-09-04,0,826751.405466507,Limited Company,Personal
226,2014-09-04,0,-772556.7453025614,Limited Company,Personal
227,2014-09-05,0,-1573534.675557035,Limited Company,Personal
228,2014-09-07,0,3187704.7583929733,Limited Company,Personal
229,2014-09-07,0,-837780.7552501576,Limited Company,Personal
230,2014-09-08,0,2137209.0447092815,Limited Company,Personal
231,2014-09-10,0,707756.1038341436,Limited Company,Personal
232,2014-09-11,0,-173274.60623420647,Limited Company,Personal
233,2014-09-12,0,938492.6845156678,Limited Company,Personal
234,2014-09-13,0,1881642.0314559576,Limited Company,Personal
235,2014-09-14,0,-2208032.6782028507,Limited Company,Personal
236,2014-09-15,0,634859.0763286811,Limited Company,Personal
237,2014-09-16,0,1293538.9358307794,Limited Company,Personal
238,2014-09-17,0,-204295.86366551992,Limited Company,Personal
239,2014-09-18,0,-725004.4598169258,Limited Company,Personal
240,2014-09-20,0,-1618784.3512418203,Limited Company,Personal
241,2014-09-21,0,-481608.66751539597,Limited Company,Personal
242,2014-09-22,0,-2292272.694904526,Limited Company,Personal
243,2014-09-23,0,959088.951790736,Limited Company,Personal
244,2014-09-24,0,803190.4288712891,Limited Company,Personal
245,2014-09-25,0,-271153.9611001314,Limited Company,Personal
246,2014-09-27,0,968481.7598930444,Limited Company,Personal
247,2014-09-27,0,-2502775.1547212442,Limited Company,Personal
248,2014-09-28,0,79170.97948777373,Limited Company,Personal
249,2014-09-29,0,-204295.86366551992,Limited Company,Personal
250,2014-09-29,0,1613593.6000628897,Limited Company,Personal
251,2014-09-30,0,551550.3395281725,Limited Company,Personal
252,2014-10-02,0,-334983.0504109822,Limited Company,Personal
253,2014-10-03,0,-178024.91823224834,Limited Company,Personal
254,2014-10-04,0,-2107926.0814111205,Limited Company,Personal
255,2014-10-05,0,-1034542.4230677411,Limited Company,Personal
256,2014-10-06,0,847869.7563522554,Limited Company,Personal
257,2014-10-07,0,-1861755.1154945437,Limited Company,Personal
258,2014-10-09,0,-1302160.9270699138,Limited Company,Personal
259,2014-10-09,0,2443360.266882997,Limited Company,Personal
260,2014-10-10,0,529913.7111322095,Limited Company,Personal
261,2014-10-11,0,-1820005.1086974826,Limited Company,Personal
262,2014-10-12,0,-247425.24783532348,Limited Company,Personal
263,2014-10-13,0,-204295.86366551992,Limited Company,Personal
264,2014-10-14,0,2352486.9458974623,Limited Company,Personal
265,2014-10-15,0,173455.3155634848,Limited Company,Personal
266,2014-10-16,0,-376688.122952812,Limited Company,Personal
267,2014-10-17,0,-753787.9731170267,Limited Company,Personal
268,2014-10-18,0,367378.96861790813,Limited Company,Personal
269,2014-10-20,0,-428185.1278928535,Limited Company,Personal
270,2014-10-20,0,-802016.0033970352,Limited Company,Personal
271,2014-10-22,0,1322898.8708992722,Limited Company,Personal
272,2014-10-24,0,933868.9202968045,Limited Company,Personal
273,2014-10-25,0,-772721.500864207,Limited Company,Personal
274,2014-10-26,0,-204295.86366551992,Limited Company,Personal
275,2014-10-27,0,-204295.86366551992,Limited Company,Personal
276,2014-10-28,0,1898487.5081934303,Limited Company,Personal
277,2014-10-29,0,-2811326.973537585,Limited Company,Personal
278,2014-10-29,0,-681159.640108266,Limited Company,Personal
279,2014-10-31,0,387674.43248489936,Limited Company,Personal
280,2014-11-01,0,-1948146.1458253318,Limited Company,Personal
281,2014-11-02,0,-421956.3432547597,Limited Company,Personal
282,2014-11-03,0,1922100.0695970866,Limited Company,Personal
283,2014-11-04,0,-1492524.0136291625,Limited Company,Personal
284,2014-11-05,0,44531.9223377945,Limited Company,Personal
285,2014-11-07,0,-1705396.6212847813,Limited Company,Personal
286,2014-11-08,0,72463.92188478494,Limited Company,Personal
287,2014-11-09,0,-3109509.8409534725,Limited Company,Personal
288,2014-11-10,0,-3668440.391222445,Limited Company,Personal
289,2014-11-12,0,-219327.53107896345,Limited Company,Personal
290,2014-11-12,0,-2899169.018935252,Limited Company,Personal
291,2014-11-13,0,1251301.9101358387,Limited Company,Personal
292,2014-11-14,0,-524753.063512302,Limited Company,Personal
293,2014-11-15,0,-1265124.6542282547,Limited Company,Personal
294,2014-11-16,0,-1034269.0316811029,Limited Company,Personal
295,2014-11-18,0,1635417.6181711399,Limited Company,Personal
296,2014-11-19,0,-851142.1924060734,Limited Company,Personal
297,2014-11-20,0,1841671.660059596,Limited Company,Personal
298,2014-11-20,0,340202.0346186116,Limited Company,Personal
299,2014-11-21,0,-383031.07035965973,Limited Company,Personal
300,2014-11-22,0,168282.25816465507,Limited Company,Personal
301,2014-11-23,0,-537289.9737870261,Limited Company,Personal
302,2014-11-24,0,-1374852.5871119536,Limited Company,Personal
303,2014-11-25,0,-335515.8842309564,Limited Company,Personal
304,2014-11-26,0,-2047791.1517095272,Limited Company,Personal
305,2014-11-27,0,-65834.99002939646,Limited Company,Personal
306,2014-11-29,0,-3130349.4557157587,Limited Company,Personal
307,2014-11-30,0,-1932065.9382240353,Limited Company,Personal
308,2014-12-01,0,-88931.41991565394,Limited Company,Personal
309,2014-12-03,0,-684723.081424005,Limited Company,Personal
310,2014-12-04,0,113442.34303851397,Limited Company,Personal
311,2014-12-05,0,2950339.489336665,Limited Company,Personal
312,2014-12-07,0,-504377.36785730364,Limited Company,Personal
313,2014-12-09,0,-2867940.3695189916,Limited Company,Personal
314,2014-12-10,0,686758.4954121029,Limited Company,Personal
315,2014-12-12,0,-2174822.913003795,Limited Company,Personal
316,2014-12-13,0,-1423766.2418513736,Limited Company,Personal
317,2014-12-14,0,-1997663.5128832906,Limited Company,Personal
318,2014-12-15,0,178052.1941365056,Limited Company,Personal
319,2014-12-16,0,-2146598.491567838,Limited Company,Personal
320,2014-12-17,0,-255793.8403758931,Limited Company,Personal
321,2014-12-18,0,362886.87927898375,Limited Company,Personal
322,2014-12-20,0,-708217.2892993521,Limited Company,Personal
323,2014-12-20,0,1259122.0699180895,Limited Company,Personal
324,2014-12-22,0,1242063.289592819,Limited Company,Personal
325,2014-12-23,0,-419293.20666086616,Limited Company,Personal
326,2014-12-24,0,-1064396.2604072962,Limited Company,Personal
327,2014-01-02,1,-278156.08765397954,Sole Trader,Sole Trader
328,2014-01-03,1,168153.05320097576,Sole Trader,Sole Trader
329,2014-01-04,1,-20612.827592126065,Sole Trader,Sole Trader
330,2014-01-05,1,183622.74609141168,Sole Trader,Sole Trader
331,2014-01-06,1,-329789.81865516305,Sole Trader,Sole Trader
332,2014-01-07,1,-97897.82329451937,Sole Trader,Sole Trader
333,2014-01-08,1,233310.9827660194,Sole Trader,Sole Trader
334,2014-01-09,1,-11134.665662354178,Sole Trader,Sole Trader
335,2014-01-09,1,34744.10984088463,Sole Trader,Sole Trader
336,2014-01-11,1,34107.90395188093,Sole Trader,Sole Trader
337,2014-01-11,1,-153491.2754546036,Sole Trader,Sole Trader
338,2014-01-12,1,24939.918964843353,Sole Trader,Sole Trader
339,2014-01-14,1,-57989.807161105506,Sole Trader,Sole Trader
340,2014-01-14,1,174189.16412560432,Sole Trader,Sole Trader
341,2014-01-15,1,-156201.735239127,Sole Trader,Sole Trader
342,2014-01-16,1,51147.10715401167,Sole Trader,Sole Trader
343,2014-01-17,1,185136.07593080786,Sole Trader,Sole Trader
344,2014-01-19,1,223.8516139499261,Sole Trader,Sole Trader
345,2014-01-20,1,47019.93781983812,Sole Trader,Sole Trader
346,2014-01-21,1,-61645.98168526389,Sole Trader,Sole Trader
347,2014-01-22,1,51269.3275184322,Sole Trader,Sole Trader
348,2014-01-23,1,-80823.15047528331,Sole Trader,Sole Trader
349,2014-01-25,1,-217831.04525864922,Sole Trader,Sole Trader
350,2014-01-26,1,-204295.86366551992,Sole Trader,Sole Trader
351,2014-01-27,1,-204295.86366551992,Sole Trader,Sole Trader
352,2014-01-28,1,-125940.26049065904,Sole Trader,Sole Trader
353,2014-01-29,1,165422.2975881715,Sole Trader,Sole Trader
354,2014-01-30,1,143914.71219416574,Sole Trader,Sole Trader
355,2014-01-31,1,-89125.77398198443,Sole Trader,Sole Trader
356,2014-02-01,1,138135.91795527266,Sole Trader,Sole Trader
357,2014-02-03,1,-42914.11652711657,Sole Trader,Sole Trader
358,2014-02-03,1,40872.84262524877,Sole Trader,Sole Trader
359,2014-02-04,1,-616.72972292942,Sole Trader,Sole Trader
360,2014-02-05,1,-149842.51067922404,Sole Trader,Sole Trader
361,2014-02-06,1,132797.23445054196,Sole Trader,Sole Trader
362,2014-02-06,1,-192127.71998644268,Sole Trader,Sole Trader
363,2014-02-08,1,26988.309597890446,Sole Trader,Sole Trader
364,2014-02-09,1,160287.58462701156,Sole Trader,Sole Trader
365,2014-02-10,1,81110.55208889098,Sole Trader,Sole Trader
366,2014-02-11,1,-217802.97526771514,Sole Trader,Sole Trader
367,2014-02-12,1,-207440.69466568434,Sole Trader,Sole Trader
368,2014-02-13,1,-121325.15110131212,Sole Trader,Sole Trader
369,2014-02-15,1,-50388.427297375456,Sole Trader,Sole Trader
370,2014-02-16,1,-352342.31022088573,Sole Trader,Sole Trader
371,2014-02-17,1,-101491.1769157795,Sole Trader,Sole Trader
372,2014-02-18,1,-220064.95292157333,Sole Trader,Sole Trader
373,2014-02-18,1,-167456.040269969,Sole Trader,Sole Trader
374,2014-02-20,1,-236522.81476800825,Sole Trader,Sole Trader
375,2014-02-21,1,-85830.84495601019,Sole Trader,Sole Trader
376,2014-02-22,1,-204295.86366551992,Sole Trader,Sole Trader
377,2014-02-23,1,-318075.0159584093,Sole Trader,Sole Trader
378,2014-02-24,1,-31621.102644730418,Sole Trader,Sole Trader
379,2014-02-25,1,-111417.19337454408,Sole Trader,Sole Trader
380,2014-02-26,1,-59678.9363270622,Sole Trader,Sole Trader
381,2014-02-27,1,-22986.15392981944,Sole Trader,Sole Trader
382,2014-02-28,1,-258236.81025402158,Sole Trader,Sole Trader
383,2014-03-01,1,27895.57867377941,Sole Trader,Sole Trader
384,2014-03-03,1,70704.53169932822,Sole Trader,Sole Trader
385,2014-03-04,1,-10003.808429324155,Sole Trader,Sole Trader
386,2014-03-04,1,-52879.08478000821,Sole Trader,Sole Trader
387,2014-03-05,1,-127560.36359524557,Sole Trader,Sole Trader
388,2014-03-07,1,-281979.47753343557,Sole Trader,Sole Trader
389,2014-03-08,1,-284521.5679853925,Sole Trader,Sole Trader
390,2014-03-09,1,-59849.62373677391,Sole Trader,Sole Trader
391,2014-03-10,1,144086.71554286825,Sole Trader,Sole Trader
392,2014-03-11,1,-147377.4836390886,Sole Trader,Sole Trader
393,2014-03-11,1,-204295.86366551992,Sole Trader,Sole Trader
394,2014-03-13,1,-171833.04821349774,Sole Trader,Sole Trader
395,2014-03-14,1,17712.559330115648,Sole Trader,Sole Trader
396,2014-03-15,1,-167734.1184239359,Sole Trader,Sole Trader
397,2014-03-16,1,-64226.98344091748,Sole Trader,Sole Trader
398,2014-03-17,1,-200352.1868396991,Sole Trader,Sole Trader
399,2014-03-17,1,-3808.387905950338,Sole Trader,Sole Trader
400,2014-03-18,1,129364.49624441023,Sole Trader,Sole Trader
401,2014-03-20,1,-59019.205497946416,Sole Trader,Sole Trader
402,2014-03-22,1,-204295.86366551992,Sole Trader,Sole Trader
403,2014-03-23,1,162427.01799300534,Sole Trader,Sole Trader
404,2014-03-24,1,-154626.12099503644,Sole Trader,Sole Trader
405,2014-03-25,1,41259.36427466353,Sole Trader,Sole Trader
406,2014-03-25,1,-105437.94113692484,Sole Trader,Sole Trader
407,2014-03-26,1,51594.16199700229,Sole Trader,Sole Trader
408,2014-03-27,1,24242.815468389424,Sole Trader,Sole Trader
409,2014-03-28,1,-109497.5420652257,Sole Trader,Sole Trader
410,2014-03-29,1,-204919.29482370542,Sole Trader,Sole Trader
411,2014-03-30,1,120648.85010154161,Sole Trader,Sole Trader
412,2014-03-31,1,-204295.86366551992,Sole Trader,Sole Trader
413,2014-04-01,1,178122.9714089943,Sole Trader,Sole Trader
414,2014-04-02,1,73920.68659279286,Sole Trader,Sole Trader
415,2014-04-03,1,-9968.257831357856,Sole Trader,Sole Trader
416,2014-04-04,1,-71281.21611749672,Sole Trader,Sole Trader
417,2014-04-04,1,-263833.4279235527,Sole Trader,Sole Trader
418,2014-04-06,1,113612.42309176835,Sole Trader,Sole Trader
419,2014-04-07,1,-192867.87493311032,Sole Trader,Sole Trader
420,2014-04-08,1,26671.795902785147,Sole Trader,Sole Trader
421,2014-04-10,1,-205676.6075902913,Sole Trader,Sole Trader
422,2014-04-11,1,-66788.41819603895,Sole Trader,Sole Trader
423,2014-04-11,1,-328610.00849167607,Sole Trader,Sole Trader
424,2014-04-13,1,84414.02459569764,Sole Trader,Sole Trader
425,2014-04-14,1,-15250.315469054593,Sole Trader,Sole Trader
426,2014-04-15,1,148147.05542152544,Sole Trader,Sole Trader
427,2014-04-15,1,80725.2451523908,Sole Trader,Sole Trader
428,2014-04-17,1,-166947.49058567852,Sole Trader,Sole Trader
429,2014-04-18,1,-173155.16958688182,Sole Trader,Sole Trader
430,2014-04-18,1,-91490.58720666822,Sole Trader,Sole Trader
431,2014-04-20,1,-136537.1325243153,Sole Trader,Sole Trader
432,2014-04-20,1,-462683.0354021602,Sole Trader,Sole Trader
433,2014-04-21,1,124701.78023142001,Sole Trader,Sole Trader
434,2014-04-22,1,-76034.39787479927,Sole Trader,Sole Trader
435,2014-04-23,1,-95123.02421595449,Sole Trader,Sole Trader
436,2014-04-24,1,-120806.8280393632,Sole Trader,Sole Trader
437,2014-04-25,1,96602.98035604449,Sole Trader,Sole Trader
438,2014-04-26,1,-204295.86366551992,Sole Trader,Sole Trader
439,2014-04-27,1,-221122.45161717123,Sole Trader,Sole Trader
440,2014-04-28,1,-316959.90950283816,Sole Trader,Sole Trader
441,2014-04-28,1,-70466.29559093757,Sole Trader,Sole Trader
442,2014-04-29,1,-195813.94853262894,Sole Trader,Sole Trader
443,2014-05-01,1,-204295.86366551992,Sole Trader,Sole Trader
444,2014-05-02,1,-104479.60350558598,Sole Trader,Sole Trader
445,2014-05-03,1,-204295.86366551992,Sole Trader,Sole Trader
446,2014-05-03,1,-107321.86976394738,Sole Trader,Sole Trader
447,2014-05-04,1,-56947.704951699736,Sole Trader,Sole Trader
448,2014-05-05,1,-204295.86366551992,Sole Trader,Sole Trader
449,2014-05-05,1,-84618.42987337471,Sole Trader,Sole Trader
